Age,Pay Rate,State,Zip,Sex,MaritalDesc,CitizenDesc,Hispanic/Latino,RaceDesc,Days Employed,Reason For Term,Employment Status,Department,Position,Manager Name,Employee Source,Performance Score
48,50.5,MA,1901,Male,Single,US Citizen,No,Asian,311,retiring,Voluntarily Terminated,Production       ,Production Manager,Janet King,Billboard,Fully Meets
34,55.0,MA,2169,Male,Single,US Citizen,No,White,668,N/A - still employed,Active,Production       ,Production Manager,Janet King,Pay Per Click - Google,Exceeds
44,51.0,MA,1731,Female,Single,US Citizen,No,White,1165,N/A - still employed,Active,Production       ,Production Manager,Janet King,Search Engine - Google Bing Yahoo,Fully Meets
36,54.0,MA,1752,Male,Divorced,US Citizen,No,White,908,N/A - still employed,Active,Production       ,Production Manager,Janet King,Employee Referral,Fully Meets
45,48.5,MA,1890,Male,Married,US Citizen,No,White,1797,attendance,Terminated for Cause,Production       ,Production Manager,Janet King,Employee Referral,Fully Meets
41,42.0,MA,2128,Male,Married,US Citizen,No,Asian,581,unhappy,Voluntarily Terminated,Production       ,Production Manager,Janet King,Other,Needs Improvement
36,55.0,MA,2110,Female,Married,US Citizen,No,White,1518,N/A - still employed,Active,Production       ,Production Manager,Janet King,Website Banner Ads,Exceeds
36,53.0,MA,2045,Male,Single,US Citizen,yes,Hispanic,1928,N/A - still employed,Active,Production       ,Production Manager,Janet King,Internet Search,Fully Meets
41,38.5,MA,2030,Female,Married,US Citizen,No,White,2032,Another position,Voluntarily Terminated,Production       ,Production Manager,Janet King,Internet Search,Fully Meets
42,52.0,MA,2451,Female,Married,US Citizen,No,White,1881,N/A - still employed,Active,Production       ,Production Manager,Janet King,Vendor Referral,Fully Meets
42,53.0,MA,1803,Male,Divorced,US Citizen,No,White,2686,N/A - still employed,Active,Production       ,Production Manager,Janet King,Monster.com,Needs Improvement
40,55.0,MA,1776,Female,Married,US Citizen,No,Black or African American,3244,N/A - still employed,Active,Production       ,Production Manager,Janet King,Billboard,Fully Meets
62,33.5,MA,2478,Female,Married,US Citizen,No,Black or African American,98,Another position,Voluntarily Terminated,Production       ,Production Manager,Janet King,Diversity Job Fair,Fully Meets
34,20.0,MA,1960,Male,Single,US Citizen,No,White,2336,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,MBTA ads,Exceeds
29,21.0,MA,1886,Female,Married,US Citizen,No,White,3611,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Billboard,Fully Meets
28,16.0,MA,2169,Female,Divorced,US Citizen,No,White,57,return to school,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Word of Mouth,N/A- too early to review
41,23.0,MA,1844,Female,Single,US Citizen,No,White,2148,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,MBTA ads,Exceptional
35,22.0,MA,2199,Male,Widowed,US Citizen,No,White,1518,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Employee Referral,N/A- too early to review
48,22.0,MA,1902,Female,Single,US Citizen,No,Two or more races,3065,N/A - still employed,Leave of Absence,Production       ,Production Technician I,Brannon Miller,Diversity Job Fair,Fully Meets
44,17.0,MA,1902,Female,Married,US Citizen,Yes,Hispanic,2,Another position,Voluntarily Terminated,Production       ,Production Technician I,David Stanley,Diversity Job Fair,N/A- too early to review
44,22.0,MA,2062,Male,Married,US Citizen,Yes,Asian,170,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Diversity Job Fair,90-day meets
34,16.76,MA,1810,Male,Single,US Citizen,No,Two or more races,2106,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Social Networks - Facebook Twitter etc,Fully Meets
40,18.0,MA,2747,Male,Divorced,US Citizen,No,White,194,Another position,Voluntarily Terminated,Production       ,Production Technician I,Michael Albert,On-line Web application,Fully Meets
47,22.0,MA,1915,Female,Single,Eligible NonCitizen,No,White,2428,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets
39,17.0,MA,2452,Male,Single,US Citizen,No,Asian,1602,N/A - still employed,Leave of Absence,Production       ,Production Technician I,Webster Butler,MBTA ads,Fully Meets
47,16.0,MA,2072,Male,Single,US Citizen,Yes,White,2064,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Word of Mouth,Fully Meets
59,22.0,MA,2027,Female,Divorced,US Citizen,No,Asian,1560,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Billboard,Fully Meets
28,16.0,MA,2031,Female,Married,US Citizen,No,White,1238,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Professional Society,Exceeds
27,20.0,MA,1701,Female,Married,US Citizen,No,White,439,Another position,Voluntarily Terminated,Production       ,Production Technician I,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets
48,20.0,MA,2043,Female,Separated,US Citizen,No,Black or African American,1476,N/A - still employed,Leave of Absence,Production       ,Production Technician I,Kissy Sullivan,Diversity Job Fair,Fully Meets
35,20.0,MA,1701,Male,Single,US Citizen,No,Black or African American,1336,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,MBTA ads,Fully Meets
67,16.0,MA,2763,Female,Single,US Citizen,No,White,1154,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Search Engine - Google Bing Yahoo,Fully Meets
39,19.5,MA,2170,Female,Single,US Citizen,No,White,1294,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Internet Search,Fully Meets
34,22.0,MA,1845,Male,Single,US Citizen,No,White,1602,N/A - still employed,Active,Production       ,Production Technician I,Webster Butler,Newspager/Magazine,Fully Meets
34,21.0,MA,1775,Female,Single,US Citizen,No,White,1602,relocation out of area,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Other,90-day meets
30,22.0,MA,2044,Female,Single,Non-Citizen,No,Black or African American,2246,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Pay Per Click - Google,Fully Meets
37,24.75,MA,2134,Male,Married,US Citizen,No,White,508,N/A - Has not started yet,Future Start,Production       ,Production Technician I,Brannon Miller,Employee Referral,Exceeds
40,15.0,MA,2452,Male,Single,US Citizen,No,White,1602,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Employee Referral,Fully Meets
38,15.0,MA,1880,Male,Single,US Citizen,No,Black or African American,440,performance,Terminated for Cause,Production       ,Production Technician I,Kissy Sullivan,MBTA ads,Needs Improvement
41,15.75,MA,2189,Female,Married,US Citizen,Yes,White,1056,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Billboard,90-day meets
31,19.75,MA,1821,Female,Single,US Citizen,No,White,508,N/A - Has not started yet,Future Start,Production       ,Production Technician I,Michael Albert,Newspager/Magazine,N/A- too early to review
39,15.0,MA,2110,Female,Married,US Citizen,No,White,1973,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Billboard,Fully Meets
40,23.5,MA,1810,Male,Married,US Citizen,No,White,1484,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Billboard,Fully Meets
51,20.0,MA,2061,Male,Married,US Citizen,No,White,1238,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Professional Society,PIP
35,21.0,MA,2180,Male,Single,US Citizen,No,White,1294,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Pay Per Click - Google,Fully Meets
39,22.0,MA,2351,Female,Married,US Citizen,No,Black or African American,1784,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Pay Per Click - Google,Needs Improvement
31,16.75,MA,2125,Female,Single,US Citizen,Yes,White,2064,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Monster.com,Fully Meets
26,17.0,MA,2343,Female,Married,US Citizen,No,White,794,military,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Search Engine - Google Bing Yahoo,Fully Meets
44,21.25,MA,2026,Male,Single,US Citizen,No,White,1112,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,MBTA ads,Fully Meets
39,21.0,MA,2045,Male,Married,US Citizen,No,White,1336,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Employee Referral,90-day meets
34,17.0,MA,2129,Male,Single,US Citizen,No,White,908,attendance,Terminated for Cause,Production       ,Production Technician I,Michael Albert,Word of Mouth,Needs Improvement
29,18.0,MA,2458,Female,Single,US Citizen,No,White,8,"no-call, no-show",Terminated for Cause,Production       ,Production Technician I,Elijiah Gray,Word of Mouth,N/A- too early to review
63,20.0,MA,2176,Female,Married,US Citizen,No,White,922,military,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Search Engine - Google Bing Yahoo,Fully Meets
28,18.0,MA,2132,Male,Married,US Citizen,No,White,930,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Professional Society,N/A- too early to review
31,23.0,MA,2176,Female,Single,US Citizen,No,White,2106,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Newspager/Magazine,Fully Meets
37,24.0,MA,2155,Female,Married,US Citizen,No,White,2148,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Social Networks - Facebook Twitter etc,Fully Meets
32,19.0,MA,1905,Male,Single,US Citizen,Yes,White,972,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Employee Referral,N/A- too early to review
38,18.0,MA,1550,Male,Single,US Citizen,No,Asian,1602,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Professional Society,Fully Meets
34,24.0,MA,2121,Female,Single,US Citizen,Yes,Black or African American,2386,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,MBTA ads,Fully Meets
27,19.0,MA,2145,Female,Married,US Citizen,No,Black or African American,972,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Professional Society,N/A- too early to review
48,22.0,MA,2330,Female,Divorced,US Citizen,No,White,8,hours,Voluntarily Terminated,Production       ,Production Technician I,Elijiah Gray,Diversity Job Fair,N/A- too early to review
43,15.0,MA,2062,Male,Married,US Citizen,No,Black or African American,1179,military,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Diversity Job Fair,Needs Improvement
38,16.0,MA,2451,Female,Single,US Citizen,Yes,Two or more races,1154,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Professional Society,Exceeds
25,17.0,MA,2451,Female,Single,US Citizen,Yes,White,1476,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Glassdoor,Fully Meets
48,16.0,MA,2108,Male,Divorced,US Citizen,No,American Indian or Alaska Native,2330,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Diversity Job Fair,Exceeds
39,15.0,MA,2169,Male,Married,US Citizen,No,White,1973,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,MBTA ads,Fully Meets
43,24.0,MA,1864,Female,Married,US Citizen,No,Asian,1560,N/A - still employed,Leave of Absence,Production       ,Production Technician I,Kissy Sullivan,On-campus Recruiting,Fully Meets
35,14.0,MA,2176,Female,Divorced,US Citizen,No,White,1055,more money,Voluntarily Terminated,Production       ,Production Technician I,Kelley Spirea,Monster.com,Fully Meets
41,24.0,MA,2127,Female,Married,US Citizen,No,White,2190,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Word of Mouth,Fully Meets
35,21.0,MA,1776,Male,Married,US Citizen,No,Asian,2022,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets
65,19.75,MA,2324,Female,Single,US Citizen,No,White,1436,retiring,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Monster.com,Fully Meets
44,20.0,MA,1886,Female,Married,US Citizen,No,White,1294,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Monster.com,Exceeds
34,19.0,MA,2149,Male,Single,US Citizen,No,White,1931,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Social Networks - Facebook Twitter etc,90-day meets
27,16.0,MA,1775,Female,Single,US Citizen,No,White,1560,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Professional Society,Fully Meets
45,20.0,MA,2081,Female,Single,US Citizen,No,White,1847,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Newspager/Magazine,Fully Meets
52,21.0,MA,1778,Female,Divorced,US Citizen,No,White,1518,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Employee Referral,Fully Meets
54,19.0,MA,2109,Female,Separated,US Citizen,No,White,1420,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,On-campus Recruiting,Fully Meets
58,17.0,MA,2445,Male,Married,US Citizen,No,White,1635,more money,Voluntarily Terminated,Production       ,Production Technician I,Michael Albert,Monster.com,Exceeds
32,21.0,MA,2446,Female,Married,US Citizen,No,White,1908,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Elijiah Gray,Monster.com,90-day meets
42,19.0,MA,1887,Male,Single,US Citizen,No,White,1518,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Billboard,Fully Meets
44,22.0,MA,2170,Female,Married,US Citizen,No,White,1347,more money,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Search Engine - Google Bing Yahoo,90-day meets
47,24.0,MA,2127,Female,Married,US Citizen,No,White,105,more money,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Search Engine - Google Bing Yahoo,Fully Meets
40,14.0,MA,1721,Male,Single,US Citizen,No,Black or African American,1378,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,On-campus Recruiting,Fully Meets
38,21.0,MA,1801,Male,Married,US Citizen,No,Asian,2512,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Pay Per Click - Google,Fully Meets
31,17.0,MA,2048,Male,Married,US Citizen,No,White,1966,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Newspager/Magazine,Fully Meets
39,19.0,MA,1810,Female,Single,US Citizen,No,Asian,693,return to school,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Monster.com,Fully Meets
36,15.0,MA,2050,Male,Single,US Citizen,No,White,164,attendance,Terminated for Cause,Production       ,Production Technician I,Kelley Spirea,Social Networks - Facebook Twitter etc,90-day meets
37,15.25,MA,1886,Female,Married,US Citizen,No,White,83,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Michael Albert,Internet Search,N/A- too early to review
42,20.0,MA,2122,Female,Married,US Citizen,No,Black or African American,1014,N/A - still employed,Leave of Absence,Production       ,Production Technician I,Elijiah Gray,Website Banner Ads,90-day meets
45,19.0,MA,1844,Female,Single,US Citizen,Yes,Two or more races,1468,Another position,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Diversity Job Fair,Exceeds
45,15.0,MA,1938,Male,Widowed,US Citizen,No,White,2,hours,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Pay Per Click,N/A- too early to review
31,17.0,MA,2189,Female,Single,US Citizen,No,White,1420,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Newspager/Magazine,Fully Meets
43,23.0,MA,2451,Female,Married,US Citizen,No,White,1476,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,On-campus Recruiting,Fully Meets
40,20.0,MA,2330,Female,Married,US Citizen,No,White,2371,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Other,90-day meets
31,24.0,MA,2184,Female,Married,US Citizen,No,Black or African American,1784,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Monster.com,Fully Meets
50,14.0,MA,1760,Female,Single,US Citizen,No,Black or African American,1318,Another position,Voluntarily Terminated,Production       ,Production Technician I,Kelley Spirea,Diversity Job Fair,Fully Meets
41,20.0,MA,2346,Female,Single,US Citizen,No,White,972,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Monster.com,N/A- too early to review
33,15.0,MA,2453,Female,Divorced,US Citizen,No,White,1700,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,MBTA ads,Fully Meets
29,18.0,MA,2110,Male,Single,US Citizen,No,Black or African American,921,return to school,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Diversity Job Fair,Fully Meets
35,22.0,MA,2421,Male,Married,US Citizen,No,White,1150,more money,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Employee Referral,Fully Meets
41,21.0,MA,2136,Male,Married,US Citizen,No,White,1294,N/A - still employed,Leave of Absence,Production       ,Production Technician I,Ketsia Liebig,On-campus Recruiting,Fully Meets
51,15.0,MA,1810,Female,Separated,US Citizen,No,Asian,1700,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Diversity Job Fair,Exceeds
33,19.0,MA,2132,Female,Single,US Citizen,No,White,1602,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Vendor Referral,Fully Meets
37,18.5,MA,2152,Female,Single,US Citizen,No,Two or more races,762,performance,Terminated for Cause,Production       ,Production Technician I,Kissy Sullivan,Professional Society,PIP
41,16.0,MA,2478,Male,Married,US Citizen,No,White,1518,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,On-campus Recruiting,Exceeds
38,22.0,MA,1760,Male,Single,US Citizen,No,Black or African American,1378,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,MBTA ads,Needs Improvement
39,18.0,MA,2351,Female,Married,US Citizen,No,White,1070,Another position,Voluntarily Terminated,Production       ,Production Technician I,Elijiah Gray,Social Networks - Facebook Twitter etc,Fully Meets
30,24.0,MA,2458,Male,Single,US Citizen,No,Black or African American,718,career change,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Search Engine - Google Bing Yahoo,Needs Improvement
31,22.0,MA,2176,Female,Single,US Citizen,No,White,1623,medical issues,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,MBTA ads,Fully Meets
44,17.0,MA,1749,Female,Married,US Citizen,No,White,2771,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Search Engine - Google Bing Yahoo,Fully Meets
30,18.0,MA,2451,Male,Married,US Citizen,No,White,514,more money,Voluntarily Terminated,Production       ,Production Technician I,Brannon Miller,Search Engine - Google Bing Yahoo,Fully Meets
36,17.0,MA,2451,Male,Single,US Citizen,No,Black or African American,3674,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets
33,19.0,MA,1742,Female,Divorced,Eligible NonCitizen,No,Asian,19,Another position,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Social Networks - Facebook Twitter etc,N/A- too early to review
56,16.0,MA,2109,Male,Single,US Citizen,No,White,1420,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Employee Referral,Fully Meets
47,16.0,MA,2474,Female,Divorced,US Citizen,No,White,267,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Billboard,Fully Meets
