transaction,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
95,CASH_IN,13667.43,C1283565881,214081,227748.43,C112931567,802595.74,2.27E+07,0
96,DEBIT,4562.22,C1134948547,111757.83,107195.61,C935808590,2.24E+07,2.26E+07,0
97,TRANSFER,9368.38,C1725802064,0,0,C1537536661,2.25E+07,2.25E+07,0
98,CASH_OUT,1596.78,C1023843530,103274,101677.22,C867940671,2.24E+07,2.24E+07,0
99,CASH_OUT,18543.97,C434265159,0,0,C1255024717,2.22E+07,2.22E+07,0
100,CASH_OUT,10212.98,C216977919,0,0,C1255024717,2.22E+07,2.22E+07,0
101,CASH_OUT,1680.18,C1680777748,0,0,C1284449291,2.22E+07,2.22E+07,0
102,CASH_IN,13548.11,C906915169,8760045.96,8773594.07,C2083562754,2.21E+07,2.21E+07,0
103,CASH_OUT,18401.02,C1666665378,7788.86,0,C993870751,2.21E+07,2.21E+07,0
104,CASH_IN,15716.97,C837004894,114415,130131.97,C1389943605,2.19E+07,2.19E+07,0
105,CASH_OUT,11080.18,C43606891,179,0,C96440651,2.19E+07,2.19E+07,0
106,DEBIT,10755.34,C153860817,0,0,C1515704208,2.15E+07,2.19E+07,0
107,DEBIT,273.85,C210906536,57,0,C909295153,2.18E+07,2.18E+07,0
108,DEBIT,4502.88,C1123003385,800705,796202.12,C1284449291,2.20E+07,2.17E+07,0
109,CASH_IN,5403.62,C1740972633,7177924.67,7183328.3,C1361396394,2.18E+07,2.16E+07,0
110,CASH_OUT,13547.72,C1665107472,0,0,C1361396394,2.15E+07,2.16E+07,0
111,CASH_IN,332,C1177323824,1.11E+07,1.11E+07,C939322176,2.15E+07,2.15E+07,0
112,DEBIT,10445.77,C808594764,10245.29,0,C793864212,2.15E+07,2.15E+07,0
113,CASH_OUT,12411.46,C628239258,0,0,C1987075127,2.08E+07,2.15E+07,0
114,DEBIT,2647.98,C1075389603,11625,8977.02,C1987075127,2.15E+07,2.15E+07,0
115,CASH_IN,16266.62,C1709110866,0,16266.62,C198502413,2.09E+07,2.11E+07,0
116,DEBIT,2446.28,C1996114359,29713,27266.72,C1213359698,2.10E+07,2.10E+07,0
117,CASH_OUT,15978.09,C668308761,107675,91696.91,C1379031360,2.10E+07,2.10E+07,0
118,CASH_IN,13618.62,C1581965017,2.07E+07,2.07E+07,C2006081398,2.00E+07,2.09E+07,0
119,CASH_OUT,10790.82,C917139613,0,0,C198502413,2.08E+07,2.08E+07,0
120,CASH_OUT,3444.99,C1163161613,0,0,C769342184,2.07E+07,2.08E+07,0
121,CASH_OUT,13611.6,C905874719,257486,243874.4,C366322706,1.76E+07,2.07E+07,0
122,CASH_OUT,17666.87,C1575930058,201646,183979.13,C2083562754,2.06E+07,2.06E+07,0
123,CASH_OUT,16884.76,C1378736673,0,0,C2083562754,2.06E+07,2.06E+07,0
124,CASH_IN,8137.14,C1276268738,40379,48516.14,C1674899618,2.05E+07,2.05E+07,0
125,CASH_OUT,5324.03,C478102119,13226,7901.97,C1674899618,2.05E+07,2.05E+07,0
126,CASH_OUT,922.36,C2135616644,0,0,C928094130,2.05E+07,2.05E+07,0
127,CASH_IN,1988.44,C2087245671,5099813.21,5101801.65,C1579862569,1.98E+07,2.04E+07,0
128,DEBIT,1486.19,C338484826,195512.37,194026.18,C68113386,1.97E+07,2.04E+07,0
129,CASH_IN,1998.97,C782505412,8008,10006.97,C766681183,2.02E+07,2.02E+07,0
130,CASH_OUT,2796.11,C872884554,0,0,C1787868648,2.01E+07,2.01E+07,0
131,DEBIT,1787.74,C230878535,6092,4304.26,C1515979807,1.95E+07,2.01E+07,0
132,CASH_IN,434.34,C1878625012,137646.63,138080.97,C645819421,1.99E+07,1.99E+07,0
133,CASH_IN,9972.76,C1977461320,5199651.67,5209624.43,C155706298,1.96E+07,1.99E+07,0
134,DEBIT,5581.49,C1493750999,51562,45980.51,C920002301,2.00E+07,1.98E+07,0
135,CASH_IN,17921.02,C254998338,14208,32129.02,C443126924,1.97E+07,1.97E+07,0
136,CASH_OUT,15394.82,C627373888,13634,0,C423580937,1.97E+07,1.97E+07,0
137,DEBIT,2569.49,C285806672,809138,806568.51,C155706298,1.95E+07,1.96E+07,0
138,CASH_IN,7845.3,C1372301476,7009,14854.3,C1870252780,1.96E+07,1.96E+07,0
139,CASH_OUT,14655.94,C1045810560,0,0,C1510980900,1.91E+07,1.95E+07,0
140,DEBIT,2935.49,C870826001,234508,231572.51,C788908576,1.94E+07,1.94E+07,0
141,CASH_IN,14724.54,C1962482832,7128817.26,7143541.8,C788908576,1.94E+07,1.94E+07,0
142,TRANSFER,19846.2,C1638970793,0,0,C155706298,1.84E+07,1.94E+07,1
143,CASH_IN,14886.26,C904548533,1.02E+07,1.02E+07,C347696158,1.93E+07,1.93E+07,0
144,CASH_OUT,7794.78,C1837285997,31547,23752.22,C172137506,1.93E+07,1.93E+07,0
145,CASH_OUT,6757.08,C1436251826,725255.01,718497.93,C1515979807,1.92E+07,1.92E+07,0
146,DEBIT,5247.3,C527530019,45803,40555.7,C1870252780,1.91E+07,1.91E+07,0
147,CASH_IN,12183.08,C513153851,1701057.59,1713240.67,C1870252780,1.91E+07,1.91E+07,0
148,CASH_IN,11046.28,C1808974231,78802.73,89849.02,C1080314178,1.91E+07,1.91E+07,0
149,CASH_IN,6211.54,C385869023,1657903.34,1664114.89,C991505714,1.91E+07,1.91E+07,0
150,CASH_IN,1886.75,C1748461094,1169551.37,1171438.12,C991505714,1.91E+07,1.91E+07,0
151,CASH_IN,13863.98,C939503819,5491319.56,5505183.55,C1080314178,1.89E+07,1.89E+07,0
152,CASH_OUT,18750.07,C161008112,11721,0,C2109470512,1.88E+07,1.88E+07,0
153,CASH_OUT,7197.99,C255012416,0,0,C794801857,1.88E+07,1.88E+07,1
154,CASH_IN,6305.71,C972854182,513930.9,520236.61,C201474654,1.88E+07,1.88E+07,0
155,CASH_OUT,203.28,C787816837,1781.19,1577.91,C991363637,1.88E+07,1.88E+07,0
156,DEBIT,6566.13,C1261766389,4311,0,C716083600,1.70E+07,1.87E+07,0
157,DEBIT,7880.88,C233708423,31489,23608.12,C794801857,1.87E+07,1.87E+07,0
158,DEBIT,10529.05,C246458558,204975.62,194446.57,C1361396394,1.26E+07,1.86E+07,0
159,CASH_OUT,9256.45,C1861122569,526623,517366.55,C1080314178,1.85E+07,1.85E+07,0
160,CASH_IN,9625.01,C528129741,8903902.33,8913527.33,C935808590,1.80E+07,1.84E+07,0
161,CASH_OUT,1308.98,C176466761,61371,60062.02,C648198000,1.83E+07,1.83E+07,0
162,CASH_IN,16613.93,C2119268114,5537423.04,5554036.97,C1410936008,1.74E+07,1.82E+07,0
163,CASH_OUT,18675.99,C1999871822,51348,32672.01,C1555379907,1.60E+07,1.82E+07,0
164,CASH_OUT,7402.93,C333086067,0,0,C855540901,1.81E+07,1.81E+07,0
165,CASH_IN,13054.03,C1843873104,970351.26,983405.29,C2083562754,1.53E+07,1.81E+07,0
166,CASH_IN,11764.9,C1515811003,32011,43775.9,C1219273867,1.81E+07,1.81E+07,0
167,DEBIT,1261.8,C560828672,19621,18359.2,C172409641,1.81E+07,1.81E+07,0
168,CASH_OUT,19936.66,C401216718,0,0,C172409641,1.81E+07,1.81E+07,0
169,CASH_IN,15477,C787883939,11630,27107,C172409641,1.81E+07,1.81E+07,1
170,CASH_IN,17809.04,C1280539125,1681951.7,1699760.74,C1883840933,1.81E+07,1.81E+07,0
171,CASH_OUT,17081.61,C1250091827,0,0,C747184469,1.77E+07,1.80E+07,0
172,CASH_IN,19947.61,C821540264,25366,45313.61,C483817115,1.79E+07,1.79E+07,0
173,CASH_IN,925.3,C543152221,4116276.04,4117201.34,C1014154376,1.78E+07,1.78E+07,0
174,DEBIT,2006.44,C993640162,31555,29548.56,C214774813,1.49E+07,1.78E+07,0
175,DEBIT,5444.07,C1807958497,20997,15552.93,C1536023200,1.78E+07,1.78E+07,0
176,DEBIT,3264.05,C1026328888,21068,17803.95,C1825775199,1.68E+07,1.77E+07,0
177,CASH_IN,613.73,C1913037746,1503696.08,1504309.81,C483817115,1.76E+07,1.76E+07,0
178,DEBIT,2175.61,C428050054,102208,100032.39,C483817115,1.76E+07,1.76E+07,0
179,CASH_OUT,10340.41,C1127368891,0,0,C2032924554,1.74E+07,1.75E+07,0
180,CASH_OUT,2712.07,C1682046567,668750.46,666038.4,C1485516154,1.74E+07,1.74E+07,0
181,CASH_IN,5084.31,C878938802,1403942.2,1409026.51,C909295153,1.71E+07,1.74E+07,0
182,CASH_OUT,13222,C964759763,0,0,C278110204,1.74E+07,1.74E+07,0
183,DEBIT,5831.36,C2027905553,51886,46054.64,C1870252780,1.73E+07,1.73E+07,0
184,CASH_OUT,16065.83,C1687555919,0,0,C8271807,1.71E+07,1.73E+07,0
185,CASH_OUT,10142.4,C1967494783,0,0,C1870252780,1.69E+07,1.73E+07,0
186,CASH_OUT,16230.6,C933799645,154620,138389.4,C278110204,1.67E+07,1.73E+07,0
187,CASH_IN,17058.54,C1747862060,1.05E+07,1.05E+07,C1883840933,1.51E+07,1.73E+07,0
188,DEBIT,3400.64,C378689669,54961,51560.36,C1219369531,1.72E+07,1.72E+07,0
189,DEBIT,2880.22,C202351450,49225,46344.78,C605132681,1.72E+07,1.72E+07,0
190,DEBIT,2316.83,C384026816,90309,87992.17,C1063777023,1.72E+07,1.72E+07,0
191,CASH_IN,10288.27,C2088416282,131324.79,141613.05,C290290064,1.72E+07,1.72E+07,0
192,CASH_OUT,13314.21,C201039416,5097,0,C1760015913,1.71E+07,1.72E+07,0
193,TRANSFER,5717.92,C1982291850,0,0,C959887258,1.74E+07,1.72E+07,0
194,CASH_OUT,6851.92,C715529615,0,0,C2030252632,14641,1.71E+07,0
195,CASH_OUT,9636.2,C498678405,107729,98092.8,C1063777023,1.71E+07,1.71E+07,0
196,CASH_IN,5953.06,C1816702438,1.89E+07,1.89E+07,C11003494,1.65E+07,1.71E+07,1
197,TRANSFER,10570.86,C1467022959,0,0,C1871523645,1.71E+07,1.71E+07,0
198,DEBIT,33.9,C573241257,2355,2321.1,C1544755390,1.70E+07,1.70E+07,0
199,CASH_IN,16586.72,C1209836637,1.86E+07,1.86E+07,C1544755390,1.70E+07,1.70E+07,0
200,CASH_IN,9463.05,C97213762,6770617.32,6780080.37,C2114142205,1.63E+07,1.70E+07,0
201,CASH_IN,18134.98,C2027584065,7006177.53,7024312.51,C1430654561,1.70E+07,1.70E+07,0
202,CASH_IN,13418.59,C1371432124,1.97E+07,1.97E+07,C1027992087,1.67E+07,1.69E+07,0
203,CASH_IN,3258.99,C663708951,6697465.9,6700724.89,C863811613,1.74E+07,1.68E+07,0
204,CASH_OUT,5470.32,C1722646465,32177,26706.68,C855540901,1.68E+07,1.68E+07,0
205,DEBIT,73.75,C142948386,20085,20011.25,C855540901,1.68E+07,1.68E+07,0
206,DEBIT,5252.43,C417714683,498040,492787.57,C158315020,45862,1.68E+07,0
207,CASH_OUT,8398.05,C603166698,0,0,C991505714,1.66E+07,1.68E+07,0
208,DEBIT,2709.64,C1731585761,14714,12004.36,C1856036778,1.65E+07,1.68E+07,0
209,CASH_IN,10842.2,C353445073,8092708.94,8103551.14,C551729055,1.68E+07,1.67E+07,0
210,CASH_IN,5502.35,C205084033,2498904.41,2504406.75,C959887258,1.58E+07,1.67E+07,0
211,CASH_OUT,11341.44,C792868317,331921.94,320580.5,C749013731,1.67E+07,1.67E+07,0
212,DEBIT,3022.52,C1062159095,89836,86813.48,C878511366,1.67E+07,1.67E+07,0
213,DEBIT,4241.78,C640161448,57664,53422.22,C1883840933,1.69E+07,1.67E+07,0
214,CASH_IN,16839.71,C615366713,1.00E+07,1.00E+07,C801142660,1.65E+07,1.65E+07,0
215,CASH_IN,9580.62,C701696024,4783600.3,4793180.92,C1406193485,20038,1.65E+07,0
216,CASH_OUT,12654.03,C1707295224,0,0,C1219273867,1.49E+07,1.65E+07,0
217,CASH_IN,18978.35,C491244754,2922863.89,2941842.23,C317767095,1.64E+07,1.64E+07,0
218,DEBIT,17122.27,C1969788818,33315,16192.73,C2126988635,145036,1.64E+07,0
219,CASH_OUT,1034.55,C2020604551,0,0,C290290064,1.65E+07,1.64E+07,0
220,CASH_IN,3989.33,C537349492,160975.97,164965.3,C1379031360,1.64E+07,1.64E+07,0
221,CASH_IN,15987.25,C792862762,2.23E+07,2.24E+07,C1986580577,1.64E+07,1.63E+07,0
222,CASH_IN,6003.61,C26792902,1.17E+07,1.17E+07,C909295153,1.18E+07,1.63E+07,0
223,CASH_IN,18605.01,C1636517772,102312,120917.01,C1380922009,1.62E+07,1.62E+07,0
224,DEBIT,2073.86,C374586616,18181,16107.14,C1059781259,1.61E+07,1.62E+07,0
225,CASH_OUT,7187.98,C1648092108,0,0,C90454488,1.58E+07,1.61E+07,0
226,CASH_IN,13867.42,C1812798269,9216830.62,9230698.03,C747184469,1.61E+07,1.61E+07,0
227,CASH_IN,14470.82,C1804769140,6066414.45,6080885.27,C458582664,1.61E+07,1.61E+07,0
228,CASH_IN,2167.74,C54456478,2227953.98,2230121.73,C1774146551,1.61E+07,1.61E+07,0
229,CASH_IN,15780.93,C2026397956,3637042.98,3652823.91,C2114142205,1.61E+07,1.61E+07,0
230,CASH_IN,6416.45,C529961736,2576171.86,2582588.31,C805814824,1.60E+07,1.60E+07,0
231,CASH_IN,12435.31,C1160129504,2027041.08,2039476.38,C754244871,1.60E+07,1.60E+07,0
232,CASH_IN,18573.11,C1972304706,135883.55,154456.65,C1317367242,1.58E+07,1.60E+07,0
233,DEBIT,7399.75,C865641258,204589.59,197189.84,C1423992712,1.59E+07,1.60E+07,0
234,CASH_OUT,152.72,C1659914582,20868,20715.28,C1477979030,1.61E+07,1.59E+07,0
235,CASH_IN,15370.16,C106478442,166163.83,181533.99,C1477979030,1.59E+07,1.59E+07,0
236,CASH_IN,10602.94,C1383802552,2.10E+07,2.11E+07,C2114142205,1.56E+07,1.59E+07,0
237,CASH_OUT,4434.45,C209911724,0,0,C1767067167,1.58E+07,1.58E+07,0
238,CASH_OUT,8041.19,C1927785390,20155,12113.81,C1352040365,1.58E+07,1.58E+07,0
239,CASH_OUT,4468.92,C472700666,0,0,C1317367242,1.58E+07,1.58E+07,0
240,CASH_OUT,12691.84,C441681816,244,0,C754244871,1.57E+07,1.57E+07,0
241,CASH_IN,14519.01,C705195639,2266696.47,2281215.49,C2009378486,1.56E+07,1.57E+07,0
242,DEBIT,14976.78,C474524780,12126,0,C2009378486,1.57E+07,1.57E+07,0
243,CASH_OUT,14613.67,C1713478665,4475,0,C2145458753,1.57E+07,1.57E+07,0
244,CASH_IN,4623.63,C1090530552,257,4880.63,C2145458753,1.57E+07,1.57E+07,0
245,DEBIT,4485.2,C1194528604,1066811.86,1062326.66,C805814824,1.56E+07,1.56E+07,0
246,CASH_OUT,11437.92,C355392272,31675,20237.08,C1609562230,1.56E+07,1.56E+07,0
247,CASH_OUT,17745.2,C608442095,0,0,C1410936008,1.57E+07,1.55E+07,0
248,TRANSFER,18006.7,C317290965,0,0,C228924875,1.55E+07,1.55E+07,0
249,CASH_OUT,12388.3,C1356069888,0,0,C1515704208,1.47E+07,1.55E+07,0
250,CASH_OUT,18367.33,C1931951647,0,0,C1544755390,1.47E+07,1.54E+07,0
251,CASH_OUT,10890.47,C1675354723,0,0,C461640598,1.54E+07,1.54E+07,0
252,CASH_OUT,19625.25,C1670055959,0,0,C1303868418,1.53E+07,1.53E+07,1
253,TRANSFER,19954.35,C653433553,0,0,C2102040020,1.53E+07,1.53E+07,0
254,CASH_IN,16882.15,C1846854893,9449152.84,9466034.99,C35126588,1.53E+07,1.53E+07,0
255,CASH_OUT,10277.16,C1490365283,0,0,C1754722089,1.53E+07,1.53E+07,0
256,CASH_IN,17324.76,C294022272,842539.7,859864.46,C1723395206,1.52E+07,1.52E+07,0
257,TRANSFER,5465.13,C1586698734,0,0,C562040198,1.52E+07,1.52E+07,0
258,CASH_OUT,19024.28,C1999202108,0,0,C1279610437,1.51E+07,1.52E+07,0
259,DEBIT,8089.91,C307011759,0,0,C1247600089,1.51E+07,1.52E+07,0
260,DEBIT,3685.72,C1496576783,10793.99,7108.27,C1787868648,1.10E+07,1.51E+07,0
261,CASH_IN,7716.39,C1632730283,89794,97510.39,C1778801068,1.51E+07,1.51E+07,0
262,CASH_IN,14954.06,C449768692,679774.79,694728.85,C1320172316,1.51E+07,1.51E+07,0
263,CASH_OUT,11198.67,C1653566113,0,0,C1474120649,1.50E+07,1.50E+07,0
264,CASH_IN,8741.98,C1176492857,2614541.83,2623283.81,C2102040020,1.50E+07,1.50E+07,0
265,DEBIT,2430.03,C1918292944,12689,10258.97,C2116873183,1.50E+07,1.50E+07,0
266,CASH_OUT,6344.58,C675326411,0,0,C470460030,1.49E+07,1.49E+07,0
267,CASH_OUT,5141.37,C1580620758,20839,15697.63,C1850180796,1.43E+07,1.49E+07,0
268,CASH_OUT,15606.2,C885463412,27181.39,11575.2,C1850180796,1.48E+07,1.49E+07,0
269,DEBIT,2528.31,C22620417,0,0,C2062114867,1.48E+07,1.48E+07,0
270,DEBIT,8674.32,C1870408538,252184,243509.68,C1295301356,1.48E+07,1.48E+07,0
271,CASH_OUT,8064.83,C2141908356,7618,0,C1956086968,1.48E+07,1.48E+07,0
272,CASH_OUT,2568.48,C1726280175,86058,83489.52,C1825059006,1.48E+07,1.48E+07,0
273,TRANSFER,2711.69,C664117881,0,0,C794801857,1.21E+07,1.48E+07,0
274,CASH_OUT,11037.9,C758105697,0,0,C1219369531,1.47E+07,1.48E+07,0
275,CASH_OUT,10598.06,C1773448379,0,0,C1219369531,1.47E+07,1.48E+07,0
276,CASH_OUT,8477.9,C722228352,20854,12376.1,C728526866,1.47E+07,1.47E+07,0
277,CASH_OUT,9670.28,C2032782987,400210,390539.72,C1505755152,1.15E+07,1.46E+07,0
278,CASH_IN,208.75,C2066401398,762582.92,762791.68,C1505755152,1.15E+07,1.46E+07,0
279,CASH_IN,16303.72,C1727908679,4618044.71,4634348.43,C2102040020,1.41E+07,1.46E+07,0
280,CASH_OUT,14899.13,C1433472078,0,0,C1040847151,1.48E+07,1.46E+07,0
281,DEBIT,1680.98,C2002014517,150609,148928.02,C1121384286,1.36E+07,1.46E+07,0
282,CASH_OUT,13902.37,C1409588363,0,0,C1121384286,1.36E+07,1.46E+07,0
283,CASH_IN,13000.3,C1283407880,1364,14364.3,C28818937,1.46E+07,1.46E+07,0
