"Customer Loyalty ID","Gender","Geographic Region","Loyalty Status","Neigborhood Cluster-55 Level","Neighborhood Cluster-7 Level","Television Region","Affluence Grade","Age","Frequency","Frequency Percent","Loyalty Card Tenure","Organics Purchase Count","Organics Purchase Indicator","Total Spend"
"0000159522","M","South East","Tin","12","B","London","13","41","1","0.00%","7","1","1","0.01"
"0000162485","F","Midlands","Silver","28","D","East","16","34","1","0.00%","3","2","1","3000"
"0000165808","F","North","Silver","32","D","N West","6","40","1","0.00%","7","1","1","1500"
"0000168394","F","South East","Tin","53","F","London","9","35","1","0.00%","4","1","1","0.01"
"0000170127","M","North","Silver","10","B","Yorkshire","7","50","1","0.00%","10","0","0","5000"
"0000181498","","North","Silver","01","A","N West","6","62","1","0.00%","29","0","0","3000"
"0000191396","M","North","Tin","51","F","Yorkshire","7",".","1","0.00%","10","0","0","0.01"
"0000192791","M","Midlands","Gold","16","C","East","9","60","1","0.00%","5","0","0","8100"
"0000197440","F","North","Gold","14","B","N West","8","49","1","0.00%","4","0","0","7600"
"0000202878","M","Midlands","Silver","53","F","Midlands","6","57","1","0.00%","8","0","0","2000"
"0000203289","U","Midlands","Platinum","51","F","Midlands","7","52","1","0.00%","6","0","0","23053.35"
"0000206032","M","Scottish","Gold","52","F","C Scotland","6","75","1","0.00%","17","0","0","10000"
"0000209732","","Midlands","Gold","37","E","Midlands","15","55","1","0.00%","6","0","0","10000"
"0000213241","F","","Gold","51","F","","5","57","1","0.00%","1","0","0","12000"
"0000215554","F","North","Silver","22","C","N West","8","52","1","0.00%","6","1","1","2500"
"0000217158","F","Midlands","Gold","03","A","East","12","74","1","0.00%","5","0","0","6000"
"0000223182","F","South East","Silver","28","D","London","9","79","1","0.00%","5","0","0","5000"
"0000234540","","North","Silver","32","D","Yorkshire","6","48","1","0.00%","4","0","0","420"
"0000239844","","South East","Tin","41","E","London","11","60","1","0.00%","8","0","0","0.01"
"0000243051","F","North","Silver","53","F","N West","3","38","1","0.00%","9","1","1","50"
"0000248258","F","North","Silver","10","B","N West","9","58","1","0.00%","5","0","0","5000"
"0000249335","M","Midlands","Silver","30","D","Wales & West","4","52","1","0.00%","4","0","0","1800"
"0000252646","F","North","Silver","47","F","Yorkshire","3","45","1","0.00%","9","0","0","100.01"
"0000253839","F","North","Silver","51","F","N West","9","42","1","0.00%","4","0","0","2000"
"0000256366","U","Midlands","Silver","51","F","Midlands","10","40","1","0.00%","10","0","0","50"
"0000259802","","Midlands","Gold","35","D","Midlands","5","55","1","0.00%","8","0","0","10100"
"0000262684","","Midlands","Gold","23","C","Midlands","8","77","1","0.00%","3","0","0","6000"
"0000263419","F","South East","Tin","19","C","London","11","27","1","0.00%","7","2","1","0.01"
"0000267236","F","North","Tin","37","E","N West","4","60","1","0.00%","8","0","0","0.01"
"0000270962","U","South East","Silver","04","A","London","7","58","1","0.00%","5","0","0","2500"
"0000271101","","Midlands","Tin","05","B","Midlands","7","54","1","0.00%",".","0","0","0.01"
"0000274623","M","North","Tin","32","D","N West","7","42","1","0.00%","4","0","0","0.01"
"0000275700","F","","Silver","48","F","","10","36","1","0.00%","9","1","1","1000"
"0000276871","F","South East","Gold","41","E","London","6",".","1","0.00%","1","1","1","5500"
"0000277010","F","South East","Tin","31","D","London","4","57","1","0.00%","5","0","0","0.01"
"0000278661","F","Midlands","Gold","18","C","Midlands","10","72","1","0.00%","8","0","0","11105.32"
"0000280895","F","Midlands","Tin","17","C","East","10",".","1","0.00%","6","1","1","0.01"
"0000282057","F","North","Tin","51","F","N West","7","37","1","0.00%","5","0","0","0.01"
"0000285846","F","Midlands","Silver","51","F","East","9","76","1","0.00%","8","1","1","2000"
"0000287628","F","North","Tin","34","D","N West","6","45","1","0.00%","5","0","0","0.01"
"0000288748","F","South East","Gold","19","C","S & S East","14",".","1","0.00%","8","0","0","10000"
"0000290890","M","South East","Silver","48","F","London",".","51","1","0.00%","9","0","0","0.02"
"0000293083","","South East","Silver","12","B","S & S East","15","61","1","0.00%","2","0","0","500"
"0000293555","F","Scottish","Silver","11","B","N Scot","12","61","1","0.00%","1","0","0","4000"
"0000295620","M","Midlands","Tin","","","Ulster","9","47","1","0.00%","5","0","0","0.01"
"0000297194","U","Midlands","Tin","50","F","East","8","52","1","0.00%","8","0","0","0.01"
"0000300845","U","Midlands","Silver","38","E","Midlands","8","40","1","0.00%","1","0","0","1000"
"0000301175","F","Midlands","Tin","34","D","Midlands","5","56","1","0.00%","9","0","0","0.01"
"0000301981","F","North","Gold","47","F","N West","8","51","1","0.00%","8","0","0","9000.01"
"0000310786","F","South East","Gold","24","C","London","9","50","1","0.00%","2","0","0","12000"
"0000312169","","North","Tin","38","E","N West","4","46","1","0.00%","5","0","0","0.01"
"0000312762","F","South East","Silver","08","B","S & S East","8","41","1","0.00%","7","1","1","1675"
"0000315559","M","South East","Silver","10","B","London","8","60","1","0.00%","8","0","0","100.01"
"0000315788","F","South East","Silver","15","B","S & S East","10","70","1","0.00%","8","0","0","2250"
"0000316350","F","South East","Tin","28","D","London","9","50","1","0.00%","9","1","1","0.01"
"0000317640","F","Midlands","Tin","49","F","Midlands","15","37","1","0.00%","8","1","1","0.01"
"0000317950","F","South East","Silver","18","C","London","9","74","1","0.00%","5","0","0","3000"
"0000318922","","South West","Silver","37","E","S West","8","61","1","0.00%","6","1","1","1200"
"0000323039","","North","Silver","04","A","N West","8","49","1","0.00%","3","0","0","4000"
"0000324469","F","South East","Tin","34","D","S & S East","7",".","1","0.00%","8","0","0","0.01"
"0000331341","M","Scottish","Gold","11","B","C Scotland","9","53","1","0.00%","4","0","0","6000"
"0000332658","F","Midlands","Tin","34","D","Midlands","4",".","1","0.00%","5","0","0","0.01"
"0000335606","U","Scottish","Silver","45","E","Border",".","59","1","0.00%","7","0","0","2500"
"0000340146","","North","Tin","12","B","N West","7","63","1","0.00%","5","0","0","0.01"
"0000342033","F","North","Silver","32","D","N West","7","51","1","0.00%","10","0","0","3026.67"
"0000343102","F","North","Platinum","27","D","N West","5","62","1","0.00%","7","0","0","56053.35"
"0000345474","F","South East","Silver","23","C","S & S East","3","46","1","0.00%","10","0","0","0.1"
"0000345865","M","North","Gold","38","E","Yorkshire","10","39","1","0.00%","2","1","1","7500"
"0000346225","M","South East","Silver","36","E","S & S East","6","53","1","0.00%","6","1","1","3000"
"0000346403","","Midlands","Tin","27","D","Midlands","10",".","1","0.00%","5","0","0","0.01"
"0000347086","F","South East","Silver","21","C","London","7","48","1","0.00%","4","0","0","5000"
"0000347531","F","South East","Gold","12","B","S & S East","7","62","1","0.00%","11","0","0","12808.95"
"0000349291","M","South East","Silver","12","B","London","9","26","1","0.00%","1","0","0","4000"
"0000349739","F","North","Silver","41","E","N East","7",".","1","0.00%","5","0","0","2500"
"0000351482","F","South West","Gold","41","E","S West","6","43","1","0.00%","2","0","0","6000"
"0000356425","F","Midlands","Gold","41","E","Midlands","7","78","1","0.00%","5","0","0","6000"
"0000356719","F","Midlands","Gold","19","C","East","3","67","1","0.00%","3","0","0","12049.25"
"0000357898","F","North","Tin","27","D","N West","2","45","1","0.00%","5","0","0","0.01"
"0000358649","","Scottish","Tin","32","D","C Scotland","10","60","1","0.00%","5","0","0","0.01"
"0000359955","F","South East","Gold","44","E","London","13","68","1","0.00%","6","0","0","7500"
"0000361283","U","South East","Platinum","04","A","S & S East","14","74","1","0.00%","3","0","0","20245.89"
"0000362468","M","Midlands","Tin","35","D","Midlands","5","53","1","0.00%","8","0","0","0.01"
"0000369225","M","Scottish","Silver","23","C","C Scotland","5","51","1","0.00%","8","0","0","420"
"0000369780","F","South East","Platinum","04","A","S & S East","9",".","1","0.00%","1","0","0","25000"
"0000370398","F","South East","Silver","52","F","S & S East","6","51","1","0.00%","1","0","0","200"
"0000370622","U","South East","Silver","04","A","S & S East","5","51","1","0.00%","2","0","0","200"
"0000371475","M","South East","Tin","21","C","London","11","36","1","0.00%","4","0","0","0.01"
"0000374644","F","Midlands","Gold","49","F","Wales & West","8","63","1","0.00%","2","0","0","6000"
"0000375330","F","South East","Silver","16","C","S & S East","8","69","1","0.00%","9","0","0","500"
"0000376078","F","Midlands","Tin","32","D","Midlands","11","40","1","0.00%","5","1","1","0.01"
"0000380113","F","Midlands","Silver","45","E","Wales & West","4","46","1","0.00%","11","0","0","2165.75"
"0000393347","M","South East","Tin","34","D","S & S East",".","46","1","0.00%","8","0","0","0.01"
"0000396192","F","South East","Silver","04","A","S & S East","8","46","1","0.00%","11","1","1","2245"
"0000397407","F","North","Tin","35","D","N West","9","38","1","0.00%","5","1","1","0.01"
"0000397660","M","North","Gold","52","F","N West","4","67","1","0.00%","5","0","0","11000"
"0000400297","U","North","Platinum","53","F","Yorkshire","11","73","1","0.00%","4","0","0","26000"
"0000403768","F","Scottish","Gold","11","B","Border","5","53","1","0.00%","8","0","0","9000"
"0000407364","F","Midlands","Silver","37","E","Midlands","6","55","1","0.00%","4","1","1","5000"
"0000408964","F","South East","Silver","04","A","London","9","54","1","0.00%","8","0","0","3000"
"0000414832","M","South East","Tin","52","F","London","6","45","1","0.00%","5","0","0","0.01"
"0000418943","M","","Tin","25","C","","10","39","1","0.00%","4","1","1","0.01"
"0000421979","F","North","Silver","38","E","N West","5","58","1","0.00%","4","0","0","420"
"0000423211","F","North","Tin","35","D","N East","8","33","1","0.00%","5","1","1","0.01"
"0000434671","M","South East","Tin","27","D","London","11","35","1","0.00%","8","1","1","0.01"
"0000435961","M","North","Gold","04","A","Yorkshire","4","71","1","0.00%","12","0","0","6000"
"0000439088","M","Scottish","Tin","15","B","Border","10","55","1","0.00%","4","0","0","0.01"
"0000442542","M","South West","Silver","27","D","S West",".","57","1","0.00%","11","0","0","480"
"0000454702","M","South East","Gold","05","B","London","13","53","1","0.00%","5","0","0","6871.12"
"0000462705","F","South East","Silver","44","E","London","9","58","1","0.00%","19","0","0","1500"
"0000467812","M","North","Tin","20","C","Yorkshire","13","43","1","0.00%","5","0","0","0.01"
"0000473596","F","South East","Tin","32","D","London","8","47","1","0.00%","5","0","0","0.01"
"0000479403","M","South East","Gold","18","C","S & S East","4","74","1","0.00%","2","0","0","6000"
"0000481572","M","North","Silver","38","E","N East","10","49","1","0.00%","1","0","0","5000"
"0000486701","F","South East","Silver","27","D","S & S East","9","58","1","0.00%","9","0","0","3000"
"0000492566","F","Midlands","Tin","27","D","Midlands","8","56","1","0.00%","8","0","0","0.01"
"0000498300","F","South East","Gold","14","B","S & S East","5","47","1","0.00%","1","0","0","6000"
"0000500100","F","Midlands","Silver","52","F","Midlands","14","30","1","0.00%","1","1","1","100"
"0000502316","F","South East","Platinum","30","D","S & S East","3","68","1","0.00%","4","1","1","50000"
"0000503053","F","North","Silver","35","D","N West","8","45","1","0.00%","4","0","0","1000"
"0000518069","F","South East","Gold","04","A","London","7","71","1","0.00%","6","0","0","12000"
"0000523259","F","South East","Gold","28","D","S & S East","10","65","1","0.00%","8","0","0","9053.35"
"0000528102","F","South East","Gold","24","C","London","10","74","1","0.00%","5","0","0","19000"
"0000530042","F","North","Tin","32","D","N West","10","43","1","0.00%","5","1","1","0.01"
"0000532479","F","South West","Silver","42","E","S West","11","44","1","0.00%","9","0","0","500"
"0000543004","U","South East","Silver","48","F","London","9","65","1","0.00%","5","0","0","3000"
"0000543683","M","South East","Gold","28","D","S & S East","7","46","1","0.00%","12","0","0","17409.76"
"0000553115","F","Midlands","Silver","52","F","Midlands","8","29","1","0.00%","12","0","0","2000"
"0000580287","F","Midlands","Tin","20","C","Wales & West","7","53","1","0.00%","5","1","1","0.01"
"0000588784","M","Midlands","Silver","37","E","Midlands","9","64","1","0.00%","12","0","0","1000"
"0000595233","M","South East","Silver","30","D","S & S East","10","49","1","0.00%","5","1","1","3000"
"0000598453","F","South East","Gold","51","F","London","17","59","1","0.00%","8","2","1","12000"
"0000600504","F","North","Tin","52","F","N West","8","37","1","0.00%","5","0","0","0.01"
"0000601969","","South East","Gold","14","B","London","5","60","1","0.00%","2","0","0","10000"
"0000602906","","North","Tin","52","F","Yorkshire","10","64","1","0.00%","4","0","0","0.01"
"0000604011","F","North","Silver","16","C","N West","3",".","1","0.00%","4","0","0","5000"
"0000606316","F","South East","Silver","26","C","London","15","51","1","0.00%","8","1","1","3000"
"0000607118","F","Midlands","Tin","","","Midlands","8","47","1","0.00%","5","0","0","0.01"
"0000607444","F","Midlands","Silver","11","B","Wales & West","18","51","1","0.00%","3","0","0","3000"
"0000608378","F","Scottish","Silver","34","D","C Scotland","5","58","1","0.00%","11","0","0","3050"
"0000610283","M","South East","Tin","01","A","London","9","46","1","0.00%","9","0","0","0.01"
"0000611662","U","South East","Tin","31","D","London","5","48","1","0.00%","5","0","0","0.01"
"0000618284","F","Midlands","Silver","41","E","East","15",".","1","0.00%",".","2","1","0.02"
"0000621358","F","Midlands","Gold","19","C","Midlands","4","61","1","0.00%","1","0","0","6000"
"0000630888","F","Midlands","Tin","17","C","Midlands","9","38","1","0.00%","5","1","1","0.01"
"0000633380","M","South East","Gold","41","E","S & S East","7","68","1","0.00%","6","0","0","15000.01"
"0000633542","F","Midlands","Gold","53","F","Wales & West","12","76","1","0.00%","2","0","0","6000"
"0000641022","F","North","Tin","32","D","Yorkshire","4","56","1","0.00%","8","0","0","0.01"
"0000642568","M","North","Silver","02","A","N East","8","73","1","0.00%","1","1","1","360"
"0000649007","F","Midlands","Tin","33","D","Midlands","8","37","1","0.00%","9","1","1","0.01"
"0000653500","F","Midlands","Silver","25","C","Midlands",".","32","1","0.00%","1","1","1","2500"
"0000663603","F","South East","Silver","01","A","London","11","74","1","0.00%","4","0","0","3350"
"0000666238","M","North","Gold","30","D","Yorkshire","9","65","1","0.00%",".","0","0","6107.64"
"0000667692","F","Midlands","Silver","37","E","Midlands","5","60","1","0.00%","2","0","0","5000"
"0000669067","F","Scottish","Silver","30","D","C Scotland","10","35","1","0.00%","4","0","0","1500"
"0000672785","F","Scottish","Gold","23","C","N Scot","6","46","1","0.00%","1","0","0","6544.99"
"0000674885","F","South East","Gold","37","E","London","3","46","1","0.00%","5","0","0","6000"
"0000682144","F","South East","Platinum","41","E","London","5","70","1","0.00%","0","0","0","21684.94"
"0000691178","M","Midlands","Gold","","","Ulster","9","37","1","0.00%","11","1","1","10000"
"0000693847","U","South East","Gold","08","B","S & S East","4","46","1","0.00%","3","0","0","6000"
"0000708569","U","Scottish","Silver","43","E","C Scotland","3","68","1","0.00%","18","0","0","4000"
"0000711616","U","Midlands","Platinum","08","B","Midlands","10",".","1","0.00%","4","0","0","50000"
"0000714054","U","Midlands","Silver","32","D","Wales & West","11",".","1","0.00%","5","0","0","5000"
"0000723185","F","South East","Silver","37","E","London","12","49","1","0.00%","3","0","0","3000"
"0000734446","F","Midlands","Silver","38","E","Midlands","4","63","1","0.00%","7","0","0","3026.67"
"0000741779","U","Midlands","Silver","08","B","Midlands","4","62","1","0.00%","5","0","0","5000"
"0000742880","F","South East","Gold","37","E","S & S East","5",".","1","0.00%","7","1","1","10000"
"0000745421","","Midlands","Silver","34","D","East","5","62","1","0.00%","8","0","0","0.02"
"0000749044","U","North","Gold","22","C","N East","5","74","1","0.00%","1","0","0","6000"
"0000750840","F","South East","Tin","","","S & S East","5","52","1","0.00%","5","0","0","0.01"
"0000755931","F","North","Tin","10","B","N West",".","42","1","0.00%","4","0","0","0.01"
"0000760641","","Midlands","Gold","28","D","Midlands","8","74","1","0.00%","17","1","1","6000"
"0000764876","F","South East","Tin","32","D","S & S East","7","43","1","0.00%","5","0","0","0.01"
"0000770264","F","South East","Gold","25","C","London","8","64","1","0.00%","2","0","0","12000"
"0000775258","F","North","Silver","44","E","N West","12","31","1","0.00%","9","0","0","1100"
"0000778176","F","North","Silver","27","D","N East","11","41","1","0.00%","5","0","0","1000"
"0000779199","F","Midlands","Tin","51","F","Wales & West","9","45","1","0.00%","8","0","0","0.01"
"0000794872","","South East","Gold","25","C","London","8","67","1","0.00%","2","0","0","10000.01"
"0000795267","F","South East","Silver","01","A","London","17",".","1","0.00%","13","2","1","1000"
"0000796026","F","South East","Tin","21","C","London","9","40","1","0.00%","5","0","0","0.01"
"0000802069","F","South East","Gold","05","B","S & S East","7","70","1","0.00%","2","0","0","12000"
"0000804061","F","South East","Silver","16","C","S & S East","20",".","1","0.00%","1","2","1","480"
"0000806994","","Midlands","Tin","52","F","Midlands","6","56","1","0.00%","5","0","0","0.01"
"0000807877","F","South East","Gold","13","B","London",".",".","1","0.00%","1","0","0","8053.35"
"0000811831","","North","Tin","52","F","Yorkshire","15","32","1","0.00%","5","3","1","0.01"
"0000819301","M","Midlands","Silver","","","Ulster","10","51","1","0.00%","6","0","0","1000"
"0000823066","","South East","Silver","10","B","London","8","65","1","0.00%","7","0","0","50"
"0000823961","F","Midlands","Gold","51","F","Wales & West","8","52","1","0.00%","2","0","0","6000"
"0000826758","F","Scottish","Gold","25","C","C Scotland","8",".","1","0.00%","2","1","1","6000"
"0000827614","F","South East","Tin","38","E","S & S East","6","38","1","0.00%","9","1","1","0.01"
"0000830380","F","South East","Silver","32","D","London","8","43","1","0.00%","10","0","0","50"
"0000835404","M","North","Tin","44","E","N West","7","37","1","0.00%","5","0","0","0.01"
"0000836222","M","Scottish","Tin","22","C","N Scot","7","42","1","0.00%","5","0","0","0.01"
"0000841013","U","Midlands","Gold","02","A","Midlands","4","22","1","0.00%","3","0","0","6000"
"0000842486","U","Midlands","Tin","44","E","East","8","31","1","0.00%","8","0","0","0.01"
"0000848085","F","North","Silver","06","B","N West","15","33","1","0.00%","7","2","1","0.02"
"0000851396","M","South East","Silver","51","F","London","9",".","1","0.00%","7","0","0","600"
"0000853291","","Midlands","Silver","49","F","Midlands","8","31","1","0.00%","1","0","0","5000"
"0000856916","M","Scottish","Gold","34","D","C Scotland","8","54","1","0.00%","8","0","0","12000"
"0000861820","F","South East","Silver","18","C","S & S East","5","54","1","0.00%","2","0","0","1000"
"0000870307","M","North","Gold","10","B","Yorkshire","9","53","1","0.00%","3","0","0","6000"
"0000871095","F","North","Tin","53","F","Yorkshire","16","37","1","0.00%","5","2","1","0.01"
"0000875694","","South West","Gold","28","D","S West","8","63","1","0.00%","2","0","0","6000"
"0000876623","M","North","Tin","","","N West","3","33","1","0.00%","5","0","0","0.01"
"0000878812","F","South East","Tin","12","B","London","7","65","1","0.00%","8","0","0","0.01"
"0000889199","F","Midlands","Silver","38","E","Midlands","14","39","1","0.00%","10","1","1","50"
"0000897485","F","Scottish","Gold","47","F","C Scotland","9","42","1","0.00%","2","1","1","6000"
"0000899186","M","North","Silver","37","E","Yorkshire","6","67","1","0.00%","8","0","0","3000"
"0000903191","F","Midlands","Tin","52","F","Midlands","11","43","1","0.00%","5","1","1","0.01"
"0000908584","M","North","Gold","23","C","N West","9",".","1","0.00%","6","0","0","6000"
"0000909459","F","South East","Silver","19","C","S & S East","8","50","1","0.00%","9","0","0","0.02"
"0000910007","","Midlands","Gold","08","B","Midlands","5","70","1","0.00%","5","0","0","12000"
"0000918237","F","Midlands","Tin","28","D","Midlands","13","58","1","0.00%","8","0","0","0.01"
"0000919551","F","","Tin","","","","13","50","1","0.00%","5","1","1","0.01"
"0000922366","F","Midlands","Silver","","","Ulster","7","78","1","0.00%","5","0","0","1250"
"0000929506","M","Midlands","Gold","12","B","East","5","79","1","0.00%","8","0","0","6000"
